Package ID,Brand,Product,Batch,Strain,Distribution Chain,Date.of.Harvest,Date.of.Manufacture,Cultivated By,Laboratory.Testing.Results,Point of Intended Sale,Extraction Method
32332,DTF - Downtown Flower,Forest Fire 28g - Value,218-221026.0001,Forest Fire,"Forever 46, LLC - 00000057DCHF00477864",10/26/2022,1/18/2023,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/50585a43-d312-4f81-a2a8-4df3bd890045,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
37102,iLAVA,iLAVA Entourage Touch Bamboo 3.75oz. - Hybrid,230316-001,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",4/25/2022,NA,"Forever 46, LLC - 00000057DCHF00477864",https://lims.tagleaf.com/coas/h57Ptvgn2ZFKy8ii2z8rGduO8H0bRtWHDE9Tb3GcdgBtzzuLuM,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
37029,iLAVA,Elemental Bulk Mixture - Kings Juice,230315-012,Kings Juice,"Forever 46, LLC - 00000057DCHF00477864",5/11/2022,NA,"Forever 46, LLC - 00000057DCHF00477864",https://tinyurl.com/yu2b38mc,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
37027,iLAVA,Elemental Bulk Mixture - Emergency,230315-011,Emergency,"Forever 46, LLC - 00000057DCHF00477864",6/7/2022,NA,"Forever 46, LLC - 00000057DCHF00477864",https://tinyurl.com/2p9ysdzy,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
37025,iLAVA,Elemental Bulk Mixture - Orange Cookies,230315-010,Orange Cookies,"Forever 46, LLC - 00000057DCHF00477864",3/15/2023,NA,"Forever 46, LLC - 00000057DCHF00477864",https://lims.tagleaf.com/coas/nNf2NnIPW4fZkI6nUuOfS4SCdBgqE0uWhrzEEgDoLG3seCHo9X,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
43239,DTF - Downtown Flower,DTF Premium Preroll .5g - Gary Satan,325D-230502.0001-W18,Gary Satan,"Forever 46, LLC - 00000057DCHF00477864",5/2/2023,NA,"Forever 46, LLC - 00000057DCHF00477864",https://tinyurl.com/55zhwfjd,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
43231,DTF - Downtown Flower,DTF Premium Preroll 1g - Gary Satan,325D-230502.0001-W18,Gary Satan,"Forever 46, LLC - 00000057DCHF00477864",5/2/2023,NA,"Forever 46, LLC - 00000057DCHF00477864",https://tinyurl.com/55zhwfjd,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
34282,HI KETO,Hi Keto Chocolate Chip Cookies 100mg RSO- Indica,221227-002-HI,Indica Blend,"Forever 46, LLC - 00000057DCHF00477864",12/27/2022,NA,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/cc8218b2-aa6d-4a53-8ca5-caafe7775252,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
42653,ZENZONA,zenzona Vegan Gummies Pineberry 100mg RSO - Indica,221101-002,Indica,"Forever 46, LLC - 00000057DCHF00477864",11/1/2022,NA,"Forever 46, LLC - 00000057DCHF00477864",https://lims.tagleaf.com/coas/dKmOeRPJW8qD8AhdJXrotfU0ECfkUsjzXWkFnxKfT1mlzbIBuu,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
38710,ZENZONA,zenzona Vegan Gummies Watermelon 100mg - Indica,221101-002,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",11/1/2022,NA,"Forever 46, LLC - 00000057DCHF00477864",https://lims.tagleaf.com/coas/dKmOeRPJW8qD8AhdJXrotfU0ECfkUsjzXWkFnxKfT1mlzbIBuu,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
43050,DTF - Downtown Flower,Dweebz 3.5g - Mid,Dwz-230502.0001-W18,Dweebz,"Forever 46, LLC - 00000057DCHF00477864",5/2/2023,6/7/2023,"Forever 46, LLC - 00000057DCHF00477864",https://lims.tagleaf.com/coas/03AiKHPFLMrRe8fH21sEHVFdBpjzqB9g46d8RQ29NP6jNYCLBq,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
49086,DTF - Downtown Flower,DTF Premium Preroll 1g - Fresh Fritter,FrFr-230710.0001-W28,Fresh Fritter,"Forever 46, LLC - 00000057DCHF00477864",7/10/2023,9/18/2023,"Forever 46, LLC - 00000057DCHF00477864",https://lims.tagleaf.com/coas/2u7D34q2StNP4J7UVvTDM6GcNxDllgpPmrxteF7PxxRzKQO6aj,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
39454,Roaring 20s,Roaring 20s REST 6 Pack Prerolls 3g - Gello,Gell-230710.0001-W28,Gello,"Forever 46, LLC - 00000057DCHF00477864",7/10/2023,NA,"Forever 46, LLC - 00000057DCHF00477864",https://lims.tagleaf.com/coas/5Osdg93Fzd9xwyuargFy8i3zGE4qShEYp0Xp7aDFN6aZghk4cR,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
