"","Package.ID","Brand","Product","Batch","Strain","Distribution.Chain","Date.of.Harvest","Date.of.Manufacture","Cultivated.By","Laboratory.Testing.Results","Point.of.Intended.Sale","Extraction.Method"
"27","57172","DTF - Downtown Flower","Strawberry Mo'nana 14g Smalls - Mid","SMo-240130.0001-W5","Strawberry Mo'nana","Forever 46, LLC - 00000057DCHF00477864","1/30/2024","3/25/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/13e1ed7e-8135-486c-8845-c1f11af9ef22","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"28","57110","DTF - Downtown Flower","DTF Premium Preroll 1g -  Strawberry Mo'nana","SMo-230918.0001-W38","Strawberry Mo'nana","Forever 46, LLC - 00000057DCHF00477864","9/18/2023","3/22/2024","Forever 46, LLC - 00000057DCHF00477864","https://tinyurl.com/yhwppyfj","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"29","57079","GRÄS Cannabis","GG4 3.5g","GG4 GH6 Bay 1 12.29.23","GG4","Forever 46, LLC - 00000057DCHF00477864","12/29/2023","3/21/2024","CJK, Inc. - 00000003DCOU00038157","https://orders.confidentcannabis.com/report/public/pdf/827b3ae8-9cd9-498a-83e3-37830761ae96","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"30","57466","iLAVA","Lava Rocks 3.5g - Mendo Dosi","240321-002","Mendo Dosi","Forever 46, LLC - 00000057DCHF00477864","1/17/2024","3/21/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/fd9d2e85-0af9-4e21-b0d7-f0f25c4f468e","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"31","57466","iLAVA","Lava Rocks 3.5g - Mendo Dosi","240321-002","Mendo Dosi","Forever 46, LLC - 00000057DCHF00477864","1/17/2024","3/21/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/fd9d2e85-0af9-4e21-b0d7-f0f25c4f468e","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"32","57068","GRÄS Cannabis","Blue Dream 3.5g","Blue Dream GH6 Bay 1 12.29.23","Blue Dream","Forever 46, LLC - 00000057DCHF00477864","12/29/2023","3/20/2024","CJK, Inc. - 00000003DCOU00038157","https://orders.confidentcannabis.com/report/public/pdf/fbccd733-caef-414c-a58d-1f44b5978a14","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"33","57066","GRÄS Cannabis","Tangerine Kush 3.5g","Tangerine Kush GH6 Bay 2 01.05.24","Tangerine Kush","Forever 46, LLC - 00000057DCHF00477864","1/5/2024","3/20/2024","CJK, Inc. - 00000003DCOU00038157","https://orders.confidentcannabis.com/report/public/pdf/519dc3ee-f14c-456a-9c66-666e861a99d5","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"34","57029","GRÄS Cannabis","Fresh Fritter 3.5g","FrFr-240117.0001-W3","Fresh Fritter","Forever 46, LLC - 00000057DCHF00477864","1/17/2024","3/20/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/9cb81f6f-b8c6-407e-b64e-c0a123626a50","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"35","57422","iLAVA","Delta 8 Clarity Cartridge 1000mg - White Widow","230503-014CLWW","White Widow","Forever 46, LLC - 00000057DCHF00477864","10/21/2022","3/19/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/412442c1-a3ef-47ed-b066-c57a30b24068","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"36","57400","iLAVA","Delta 8 Clarity Cartridge 1000mg - Mimosa","230503-014CLMM","Mimosa","Forever 46, LLC - 00000057DCHF00477864","10/21/2022","3/19/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/0ba3b233-8c52-41dd-ad70-22ab21715735","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"37","57384","iLAVA","Delta 8 Clarity Cartridge 1000mg - Clementine","230503-014CLCL","Clementine","Forever 46, LLC - 00000057DCHF00477864","10/21/2022","3/19/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/1731eabf-8ce3-429f-8d61-1791880a9b9e","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"38","57485","iLAVA","ClearGold Cartridge 1000mg - Blue Dream","240201-007DTFBD","Blue Dream","Forever 46, LLC - 00000057DCHF00477864","12/15/2023","3/19/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/aea72ba6-8025-4b40-a600-fd4541488d85","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"39","57484","iLAVA","ClearGold Cartridge 500mg - Blue Dream","240201-007DTFBD","Blue Dream","Forever 46, LLC - 00000057DCHF00477864","12/15/2023","3/19/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/aea72ba6-8025-4b40-a600-fd4541488d85","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"40","57469","iLAVA","Molecular Live Resin Disposable 1000mg - Kosher Kush","240319-001LR","Kosher Kush","Forever 46, LLC - 00000057DCHF00477864","3/6/2024","3/19/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/286beb98-f602-484d-9da7-9e675a97e2e1","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"41","57469","iLAVA","Molecular Live Resin Disposable 1000mg - Kosher Kush","240319-001LR","Kosher Kush","Forever 46, LLC - 00000057DCHF00477864","3/6/2024","3/19/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/286beb98-f602-484d-9da7-9e675a97e2e1","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"42","56879","High Scorez","High Scorez Comboz Infused 4pk Prerolls 2.4g - Fatso x Guava Cross","224-231214.01-W50-4pkIPR","Fatso x Guava Cross","Forever 46, LLC - 00000057DCHF00477864","12/14/2023","3/18/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/0130e450-5166-4915-b4ad-b95541d745d5","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"43","56877","High Scorez","High Scorez Comboz Infused 4pk Prerolls 2.4g - Mellow Squirt x Cherry Treat","MSQ-240117.01-W3-4pkIPR","Mellow Squirt x Cherry Treat","Forever 46, LLC - 00000057DCHF00477864","1/17/2024","3/18/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/8c5680e9-be8f-4b64-a0f8-d5ad46135867","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"44","56876","High Scorez","High Scorez Comboz Infused 4pk Prerolls 2.4g - Cherry Treat x Mendo Dosi","ChryTrt-231130.01-W48-4pkIPR","Cherry Treat x Mendo Dosi","Forever 46, LLC - 00000057DCHF00477864","11/30/2023","3/18/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/fef4e765-ba7e-42ff-97cb-9723c5e73a7d","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"45","56875","High Scorez","High Scorez Comboz Infused 4pk Prerolls 2.4g - Strawberry Mo'nana x Blue Dream X","SMo-231116.01-W46-4pkIPR","Strawberry Mo'nana x Blue Dream X","Forever 46, LLC - 00000057DCHF00477864","11/16/2023","3/18/2024","Forever 46, LLC - 00000057DCHF00477864","https://orders.confidentcannabis.com/report/public/pdf/8ee1a1ae-2ddc-485b-b741-db7d28d56899","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"46","56849","GRÄS Cannabis","Maui Berry White 3.5g","MBWV10#1","Maui Berry White","Forever 46, LLC - 00000057DCHF00477864","11/20/2023","3/14/2024","1675194CGGG547930343","https://share.confidentcannabis.com/samples/public/share/36328aef-7df0-4cf4-b37f-b224fabebff6","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"47","56845","GRÄS Cannabis","Mr. Bill 3.5g","MRB12","Mr. Bill","Forever 46, LLC - 00000057DCHF00477864","11/20/2023","3/14/2024","1675194CGGG547930343","https://share.confidentcannabis.com/samples/public/share/13cef188-b4a4-466d-81e2-3313d2642995","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"48","56844","GRÄS Cannabis","Tiki Head 3.5g","TKH15","Tiki Head","Forever 46, LLC - 00000057DCHF00477864","11/20/2023","3/14/2024","1675194CGGG547930343","https://share.confidentcannabis.com/samples/public/share/f5a7966d-2383-4e51-837f-9a1a8fb7632b","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"49","56849","GRÄS Cannabis","Maui Berry White 3.5g","MBWV10#1","Maui Berry White","Forever 46, LLC - 00000057DCHF00477864","11/20/2023","3/14/2024","Forever 46, LLC - 00000057DCHF00477864","https://share.confidentcannabis.com/samples/public/share/36328aef-7df0-4cf4-b37f-b224fabebff6","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"50","56845","GRÄS Cannabis","Mr. Bill 3.5g","MRB12","Mr. Bill","Forever 46, LLC - 00000057DCHF00477864","11/20/2023","3/14/2024","Forever 46, LLC - 00000057DCHF00477864","https://share.confidentcannabis.com/samples/public/share/13cef188-b4a4-466d-81e2-3313d2642995","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"51","56844","GRÄS Cannabis","Tiki Head 3.5g","TKH15","Tiki Head","Forever 46, LLC - 00000057DCHF00477864","11/20/2023","3/14/2024","Forever 46, LLC - 00000057DCHF00477864","https://share.confidentcannabis.com/samples/public/share/f5a7966d-2383-4e51-837f-9a1a8fb7632b","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"52","56761","GRÄS Cannabis","Apple Burger #1 3.5g","231219-001","Apple Burger #1","Forever 46, LLC - 00000057DCHF00477864","11/15/2023","3/13/2024","Forever 46, LLC (TME) - 00000126ESDQ50929013","https://orders.confidentcannabis.com/report/public/pdf/6b38e528-1f42-4811-bf69-1da3de823c02","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"53","56748","GRÄS Cannabis","Bubble Gum Pop 3.5g","240124-004","Bubble Gum Pop","Forever 46, LLC - 00000057DCHF00477864","1/23/2024","3/13/2024","Forever 46, LLC (TME) - 00000126ESDQ50929013","https://orders.confidentcannabis.com/report/public/pdf/c4e28820-2cf6-4c6e-a67a-ec184904ba7e","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"54","56759","GRÄS Cannabis","Dosi-Breath 3.5g","240124-005","Dosi-Breath","Forever 46, LLC - 00000057DCHF00477864","1/23/2024","3/13/2024","Forever 46, LLC (TME) - 00000126ESDQ50929013","https://orders.confidentcannabis.com/report/public/pdf/3c7de9bd-e665-48be-a540-23fca61830c9","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"55","56751","GRÄS Cannabis","Dough-Z 3.5g","240124-006","Dough-Z","Forever 46, LLC - 00000057DCHF00477864","1/23/2024","3/13/2024","Forever 46, LLC (TME) - 00000126ESDQ50929013","https://orders.confidentcannabis.com/report/public/pdf/61aecbc5-cd2e-4ae8-8f82-779e40365eb5","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
"56","56760","GRÄS Cannabis","Fatso 3.5g","240124-007","Fatso","Forever 46, LLC - 00000057DCHF00477864","1/23/2024","3/13/2024","Forever 46, LLC (TME) - 00000126ESDQ50929013","https://orders.confidentcannabis.com/report/public/pdf/c297586e-6e13-4fa3-9fde-a214287a5025","https://ilava.com/point-of-intended-sale/","https://ilava.com/extraction-methods/"
