"Product","Package ID","Batch","Strain","Vendor","Date of manufacture","Brand","Harvest date","Producer"
Delta 8 Clarity Cartridge 1000mg - Super Sour Diesel,15339,220601-001CL,Super Sour Diesel,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/19/2022,iLAVA,5/31/2022,
Delta 8 Clarity Cartridge 1000mg - Pineapple Express,15325,220601-001CL,Pineapple Express,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/18/2022,iLAVA,5/31/2022,
Delta 8 Clarity Cartridge 1000mg - Acapulco Gold,15297,220601-001CL,Acapulco Gold,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/18/2022,iLAVA,5/31/2022,
zenzona Vegan Gummies Blood Orange 100mg - Sativa,15294,220401-002-ZZ,Hybrid Blend,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/17/2022,ZENZONA,3/31/2022,
Delta 8 Clarity Cartridge 1000mg - Clementine,15267,220601-001CL,Clementine,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/18/2022,iLAVA,5/31/2022,
Delta 8 Clarity Cartridge 1000mg - Watermelon,15265,220601-001CL,Watermelon,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/18/2022,iLAVA,5/31/2022,
zenzona Vegan Gummies 1:1 (100mg CBD/100mg THC) Cherry - Hybrid,15248,220401-002-CH,Hybrid Blend,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/18/2022,ZENZONA,3/31/2022,
Black Banana x GMO 28g - Value,15216,4921BBAG.12.WT,Black Banana x GMO,,,Copperstate,3/13/2022,
Black Banana x GMO 28g - Value,15216,4921BBAG.12.WT,Black Banana x GMO,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/18/2022,Copperstate,3/13/2022,
zenzona Vegan Gummies Strawberry 100mg - Hybrid,15213,220401-002-ZZ,Hybrid Blend,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/17/2022,ZENZONA,3/31/2022,
zenzona Vegan Gummies Strawberry 100mg - Hybrid,15212,220401-002-ZZ,Hybrid Blend,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/17/2022,ZENZONA,3/31/2022,
AK-47 28g - Value,15211,0222AK47.45.WT,AK-47,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/17/2022,Copperstate,4/20/2022,
Entourage Day Gummies 100mg - Blood Orange,10430,220217-001-BO,Hybrid Blend,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",5/10/2022,iLAVA,2/16/2022,
Entourage Twilight Gummies 100mg - Blueberry,15210,220217-001-TB,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",7/17/2022,iLAVA,2/16/2022,
zenzona Vegan Gummies Blood Orange 100mg - Sativa,15195,220401-002-ZZ,Hybrid Blend,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/17/2022,ZENZONA,3/31/2022,
zenzona Vegan Gummies 2:1 (100mg THC/50mg CBD) Blueberry - Indica,15194,220401-002-BB,Hybrid Blend,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/17/2022,ZENZONA,3/31/2022,
Dragon Fruit 28g - Value,15193,0222DGF.45.WT,Dragon Fruit,"East Valley Patient Wellness Group, Inc. DBA: Sol Flower Sun City",7/17/2022,Copperstate,4/24/2022,
Gelatti Mintz 28g - Value,15192,0422GLMZ.41.WT,Gelatti Mintz,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/17/2022,Copperstate,5/10/2022,
Delta 8 Clarity Cartridge 1000mg - Alien OG,15190,220601-001CL,Alien OG,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/17/2022,iLAVA,5/31/2022,
Delta 8 Clarity Cartridge 1000mg - Blue Dream,15189,220601-001CL,Blue Dream,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/17/2022,iLAVA,5/31/2022,
Molecular Live Resin Cartridge 500mg - Orange Wafers,15186,220623-003,Orange Wafers,"Forever 46, LLC - 00000057DCHF00477864",7/17/2022,iLAVA,6/22/2022,
Magma Budder 1g - Blueberry Muffinz,15131,220629-001,Blueberry Muffinz,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/14/2022,iLAVA,6/28/2022,
Magma Crumble 1g - Zack's Rhino,14971,220629-002,Zack's Rhino,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",7/13/2022,iLAVA,6/28/2022,
